Key,Value
BUILDING_UPGRADE_TAXBONUS,Thuế thưởng thêm
EVENT_WITCHHUNT_08_SUCCESS,Cuối cùng chúng ta cũng có một bác sĩ trong làng. Ông ấy chắc chắn có thể giúp chúng ta chữa khỏi căn bệnh này.
EVENT_WITCHHUNT_13_TIMERQUEST_STARTED,Hãy chờ cho đến khi bác sĩ trở về từ thủ đô.
QUESTS_COMMUNITY_SATISFACTION_DESC,"Dân làng trong thị trấn sẽ hạnh phúc hơn nếu có một địa điểm chung để họ gặp gỡ, uống một cốc nước nho hoặc nhâm nhi chút bia sau một ngày làm việc vất vả. Có phải yêu cầu này là quá đáng không, thưa Thống đốc?"
QUESTS_COMMUNITY_SATISFACTION_SUMMARY,Nâng cao sự hài lòng của cộng đồng.
SCENARIO_COUNTER_THIEF_END_DESC,"Được rồi Thống đốc. Nếu Ngài không giao hiệp với bọn ta, thì người của ta sẽ lấy những gì chúng ta cần."
SCENARIO_COUNTER_THIEF_END_FAILED,Lần này Ngài gặp may thôi. Nhưng lần sau sẽ không dễ dàng như vậy đâu.
SCENARIO_COUNTER_THIEF_END_SUCCESS,"Ha ha ha. Hãy coi đây là bài học cho ngươi đi, ngài Thống Đốc. Ta chắc chắn chắn lần tới ngươi sẽ phải thay đổi quyết định của mình thôi."
SCENARIO_CW_QUEST_B_20_DESC,"Ngài Thống Đốc, tôi cần rất nhiều đá. Tôi sẽ cung cấp cho Ngài gỗ như một cuộc giao dịch."
SCENARIO_CW_QUEST_B_30_DESC,"Thưa ngài Thống Đốc, tôi đã thu thập một ít gỗ cho việc xây dựng ngôi làng. Tôi chỉ yêu cầu ngài một chúa lúa để trao đổi."
SCENARIO_CW_QUEST_B_40_DESC,Con gái tôi bị lạnh cóng tối qua. Xin ngài hãy cung cấp cho tôi một ít lông cừu cho con gái tôi. Tôi sẽ trao đổi nó bằng gỗ.
SCENARIO_CW_QUEST_B_50_DESC,"Thưa ngài, tôi có một thắc mắc... con trai tôi muốn học nghề thuộc da. Nó cần một ít da để thực hành. Tôi sẽ trao đổi nó lấy một ít gỗ."
SCENARIO_CW_QUEST_B_60_DESC,"Thưa ngài, ngài có một ít thảo mộc không? Thật không may, tôi không có chút nào để gia vị cho thịt của mình.\nTôi sẽ đưa cho ngài loại gỗ tốt nhất của tôi để đổi lấy."
SCENARIO_CW_QUEST_B_70_DESC,"Thưa ngài, tôi muốn sửa sang lại ngôi nhà của mình. Ngài có thể đổi cho tôi một ít công cụ lấy chồng củi cuối cùng của tôi không?"
SCENARIO_CW_QUEST_B_80_DESC,"Thưa ngài, tôi muốn chuẩn bị một bữa tiệc. Ngài có thể giúp đỡ tôi không? Đổi lại, tôi sẽ giúp ngài một ít gỗ."
SCENARIO_CW_QUEST_B_NAME,Trao đổi với người nông dân.
SCENARIO_CW_QUEST_B_START_01_DESC,"Thưa ngài, gia đình tôi đang chịu cảnh đói kém. Ngài có thể vui lòng cho chúng tôi một ít cá không? Tôi sẽ đổi lại cho ngài một ít gỗ từ kho củi nhỏ của tôi."
SCENARIO_CW_QUEST_B_START_02_DESC,"Tôi có một ít gỗ dự trữ để sửa chữa. Tôi sẽ đổi nó lấy một ít đá, thưa ngài."
